1._Nombre_de_encuestador,2._Fecha_y_Hora_inicio,"3._Buenos_dias/_tardes,_mi_nombre_es__________________soy_encuestador/a_y_junto_a_la_Superintendencia_de_Servicios_Publicos_y_Domiciliarios_estamos_indagando_acerca_de_como_estan_siendo_atendidas_sus_peticiones,_quejas_y/o_reclamos._Su_participacion_es_voluntaria_y_tanto_su_identidad,_como_las_respuestas_suministradas_seran_de_caracter_confidencial._Esta_encuesta_toma_alrededor_de_10_minutos,_¿estaria_dispuesto(a)_a_responder_unas_preguntas?","4._¿Autoriza_a_la_Superservicios_para_hacer_tratamiento_de_sus_datos_personales,_de_acuerdo_con_lo_establecido_en_la_Ley_1581_de_2012_y_la_Politica_de_tratamiento_de_datos_personales_de_la_entidad_publicada_en_https://www.superservicios.gov.co/Politica-de-tratamiento-de-datos?",Otro,8._Su_edad_se_encuentra_entre,9._Departamento,10._Municipio,11._Nombre_Punto_Atencion,12._Empresa,13._¿Por_que_motivo_viene_usted_hoy_a_este_punto_de_atencion?,Otro.1,14._Ud._visita_el_punto_de_atencion_¿Como?,Otro.2,15._¿Coincide_su_lugar_de_residencia_con_el_lugar_donde_esta_siendo_atendido?,16._Ud._Se_identifica_como,Otro.3,17._Pertenece_a_alguna_de_las_siguientes_etnias,Otro.4,18._¿Su_direccion_es_la_misma_que_registra_en_su_factura?,20._¿En_que_tipo_de_zona_vive_en_este_momento?,21._¿Cual_es_su_estado_civil_actualmente?,Otro.5,22._¿Cual_es_su_mayor_nivel_de_estudios?,Otro.6,23._Indiqueme_por_favor_si_el_lugar_en_el_que_vive_es:,Otro.7,24._¿Cual_es_su_principal_ocupacion,Otro.8,25._¿Cuantas_personas_actualmente_componen_su_hogar?,26._¿Cuanto_tiempo_le_toma_desde_su_lugar_de_vivienda_a_este_punto_de_atencion?,"27._Aproximadamente,_¿Cuanto_dinero_estima_que_sera_gastado_para_esta_diligencia?",Otro.9,28._¿A_que_servicio_refiere_su_visita_al_punto_de_atencion?,Otro.10,29._¿Que_tipo_de_gestion_llevara_a_cabo?,Otro.11,30._Su_inconformidad/solicitud_o_peticion_tiene_que_ver_con,Compartanos_si_considera_que_otra_razon_distinta_que_quiera_compartir_de_forma_muy_corta,"30.1_Como_su_respuesta_fue_facturacion,_indique",Otro.12,"30.1_Como_su_respuesta_fue_Prestacion_del_servicio,_indique",Otro.13,31._Como_califica_la_prestacion_del_servicio_por_parte_de_la_empresa,Otro.14,"32._En_este_momento,_¿ud_ya_fue_atendido?",32.1_Elija_la_escala_en_la_cual_se_encuentra_luego_de_ser_atendido,32.1_Elija_la_percepcion_que_tiene_en_este_momento,33._Frente_a_su_motivo_de_visita_al_punto_de_atencion_hubiera_preferido:,Otro.15,34.1._¿En_cuanto_tiempo_espera_una_respuesta_a_su_PQR?,34.1_¿En_cuanto_desearia_una_respuesta_a_su_PQR?,"35._Si_No_recibe_respuesta_a_su_solicitud_dentro_del_tiempo_estipulado,_¿Que_accion_tomaria?",Buscaria_otra_solucion._¿Cual?,36._Si_Ud._Recibe_una_respuesta_con_la_cual_NO_ESTA_DE_ACUERDO,Otro.16,"37._¿La_empresa_prestadora_de_servicio_le_explico_que,_si_USTED_no_esta_de_acuerdo_con_su_respuesta_puede_pedir_que_la_revisen_o_que_otra_autoridad_la_evalue?",Otro.17,38._Sobre_la_Superintendencia_de_Servicios_Publicos_Domiciliarios_(SSPD)_usted:,Otro.18,39._¿Que_tan_satisfecho_esta_con_la_atencion_brindada_en_este_punto?,40._¿tiene_su_factura_del_servicio_motivo_de_visita_a_la_mano?,CreationDate,EditDate,x,y,Duracion_(minutos)
f2506f32a669,2024-10-30 10:39:00.000,Si,SI AUTORIZO,,Mayor a 60 anos,"BOGOTA, D.C.","BOGOTA, D.C.",Av Caracas #58-74,VANTI,No estoy de acuerdo con el valo,,El dueno de la propiedad,,No,Mujer,,Ninguno,,Si,Urbana,Casado/a,,Basica primaria,,Propia,,Pensionado(a),,3,Entre una hora y dos horas,Menos de $10.000,,Gas Natural,,Presentar una reclamacion,,Facturacion,nan,Considero que me estan cobrando,,nan,,Regular,,Si,"Fui atendido, la orientacion fu",nan,Quiero asistir presencialmente,,Menos de una semana,nan,Presentar una queja o reclamo,nan,Elevaria una queja a una autori,,No me proporcionaron ninguna in,,Nunca habia escuchado sobre est,,Muy satisfecho,No,2024-10-30 11:25:18.723,2024-10-30 11:25:18.723,-74.065023,4.6461019,46.31205
f2506f32a669,2024-10-30 11:32:51.529,Si,SI AUTORIZO,,41 y 59 anos,"BOGOTA, D.C.","BOGOTA, D.C.",Av Caracas #58-74 OIkos,VANTI,No he recibido la factura,,Persona autorizada para actuar,,No,Hombre,,Ninguno,,No,Urbana,Union libre,,Superior (incluye postgrado),,other,Familiar,Empleado(a) en el sector privad,,4,Entre una hora y dos horas,Menos de $10.000,,Gas Natural,,Solicitar copia de la factura,,Facturacion,nan,Hay un cobro desconocido,,nan,,Buena,,No,nan,Estoy seguro de que resolvere e,Quiero asistir presencialmente,,nan,Menos de una semana,Consideraria que esta aprobada,nan,Pediria una revision a la empre,,"Si, y me explicaron como hacerl",,Se que es la entidad encargada,,Satisfecho,No,2024-10-30 11:45:50.884,2024-10-30 11:45:50.884,-74.065145,4.64603666666667,12.98925
f2506f32a669,2024-10-30 12:48:00.000,Si,SI AUTORIZO,,41 y 59 anos,"BOGOTA, D.C.","BOGOTA, D.C.",Av Caracas #58-74 Oikos,VANTI,other,Credito de un calentador,Quien usa el servicio,,No,Hombre,,Ninguno,,No,Urbana,Divorciado/a,,Superior (incluye postgrado),,Propia,,Trabajador(a) independiente,,6,Entre una hora y dos horas,De $10.000 a $30.000,,Gas Natural,,other,Compra de calentador,other,Compra de calentador a credito,nan,,nan,,Buena,,Si,Mi motivo de visita fue complet,nan,Que lo atendieran virtualmente,,Menos de una semana,nan,Presentar una queja o reclamo,nan,Elevaria una queja a una autori,,"Si, y me explicaron como hacerl",,Se que es la entidad encargada,,Satisfecho,No,2024-10-30 12:54:18.435,2024-10-30 12:54:18.435,-74.0647983333333,4.646155,6.30725
f2506f32a669,2024-10-30 12:57:05.854,Si,SI AUTORIZO,,Mayor a 60 anos,"BOGOTA, D.C.","BOGOTA, D.C.",Av Caracas #58-74 Oikos,VANTI,other,No recibi cobro del credito de una moto,El suscriptor del servicio,,No,Mujer,,Ninguno,,Si,Urbana,Soltero/a,,Superior (incluye postgrado),,other,Familiar,Pensionado(a),,2,Entre 30 minutos a 60 minutos,Menos de $10.000,,other,"Informacion por credito, coutas.",Solicitar informacion,,other,No aparece la cuota del credito en la factura.,nan,,nan,,Buena,,Si,Mi motivo de visita fue complet,nan,Que lo atendieran virtualmente,,Menos de una semana,nan,Contactar Nuevamente,nan,Pediria una revision a la empre,,No me proporcionaron ninguna in,,Se que es la entidad encargada,,Satisfecho,Si,2024-10-30 13:30:13.733,2024-10-30 13:30:13.733,-74.065075,4.64615666666667,33.13131666666666
f2506f32a669,2024-10-30 13:31:21.759,Si,SI AUTORIZO,,Mayor a 60 anos,"BOGOTA, D.C.","BOGOTA, D.C.",Av Caracas #58-74 Oikos,VANTI,other,Sin servicio y nose notifico al usuario.,El dueno de la propiedad,,Si,Hombre,,Ninguno,,Si,Urbana,Casado/a,,Basica primaria,,Propia,,Desempleado(a),,4,Entre 30 minutos a 60 minutos,De $10.000 a $30.000,,Gas Natural,,Radicar una peticion,,Prestacion del servicio,nan,nan,,other,"Sin servicio, no se notufico y todo pago.",Mala,,No,nan,No confio en que me orienten ad,Quiero asistir presencialmente,,nan,Menos de una semana,other,Una demanda.,other,Tutela,"Si, pero no me dieron mas detal",,Se que es la entidad encargada,,Muy insatisfecho,Si,2024-10-30 13:44:56.056,2024-10-30 13:44:56.056,-74.06504,4.64610166666667,13.57161666666667
f2506f32a669,2024-10-30 13:48:26.148,Si,SI AUTORIZO,,41 y 59 anos,"BOGOTA, D.C.","BOGOTA, D.C.",Av Caracas #58-74 Oikos,VANTI,No estoy de acuerdo con el valo,,El dueno de la propiedad,,No,Mujer,,Ninguno,,No,Rural,Casado/a,,Superior (incluye postgrado),,other,Familiar,Trabajador(a) independiente,,4,Entre 30 minutos a 60 minutos,De 60.000 a $100.000,,Gas Natural,,Presentar una reclamacion,,Facturacion,nan,Considero que me estan cobrando,,nan,,Buena,,No,nan,Creo que la atencion y orientac,Quiero asistir presencialmente,,nan,Menos de una semana,Presentar una queja o reclamo,nan,Elevaria una queja a una autori,,other,Tidavia no he llegado a ese punto.,Nunca habia escuchado sobre est,,Neutral,Si,2024-10-30 13:59:22.918,2024-10-30 13:59:22.918,-74.064675,4.64612166666667,10.94616666666667
f2506f32a669,2024-10-30 14:04:00.000,Si,SI AUTORIZO,,Mayor a 60 anos,"BOGOTA, D.C.","BOGOTA, D.C.",Av Caracas #58-74 Oikos.,VANTI,other,"Mantenimineto, por peligros.",El dueno de la propiedad,,Si,Mujer,,Ninguno,,Si,Urbana,Viudo/a,,Ninguno,,Propia,,Pensionado(a),,1,Entre 30 minutos a 60 minutos,De $10.000 a $30.000,,Gas Natural,,Presentar una reclamacion,,Prestacion del servicio,nan,nan,,He presentado varias solicitude,,Mala,,No,nan,No confio en que me orienten ad,Que lo atendieran virtualmente,,nan,Menos de una semana,Presentar una queja o reclamo,nan,Elevaria una queja a una autori,,No me proporcionaron ninguna in,,Se que es la entidad encargada,,Muy insatisfecho,Si,2024-10-30 14:28:17.113,2024-10-30 14:28:17.113,-74.06515,4.64621833333333,24.28521666666667
f2506f32a669,2024-10-30 14:45:43.975,Si,SI AUTORIZO,,Mayor a 60 anos,"BOGOTA, D.C.","BOGOTA, D.C.",Av Caracas #58-74 Oikos.,VANTI,No he recibido la factura,,El dueno de la propiedad,,No,Mujer,,Ninguno,,No,Rural,Divorciado/a,,Basica primaria,,Arrendada,,Cuidador(a) del hogar,,3,Entre 30 minutos a 60 minutos,Menos de $10.000,,Gas Natural,,Presentar una reclamacion,,Prestacion del servicio,nan,nan,,Mi servicio es de mala calidad,,other,Neutral,Si,"Fui atendido, la orientacion fu",nan,Enviar una carta o comunicado,,Menos de una semana,nan,Contactar Nuevamente,nan,Elevaria una queja a una autori,,"Si, pero no me dieron mas detal",,Nunca habia escuchado sobre est,,Satisfecho,No,2024-10-30 15:48:33.861,2024-10-30 15:48:33.861,-74.06544,4.64627166666667,62.83143333333333
d55e8cb90044,2024-10-31 09:28:00.000,Si,SI AUTORIZO,,41 y 59 anos,"BOGOTA, D.C.","BOGOTA, D.C.",Super Cade 30,ENEL,No he recibido la factura,,Quien usa el servicio,,Si,Mujer,,Ninguno,,Si,Urbana,Soltero/a,,Media,,Propia,,Empleado(a) en el sector public,,5,Entre 30 minutos a 60 minutos,Menos de $10.000,,Energia Electrica,,Solicitar informacion,,Facturacion,nan,Considero que el cobro de mi se,,nan,,Regular,,Si,"Fui atendido, pero la orientaci",nan,Quiero asistir presencialmente,,Entre una semana y un mes,nan,Contactar Nuevamente,nan,Pediria una revision a la empre,,"Si, pero no me dieron mas detal",,Nunca habia escuchado sobre est,,Neutral,Si,2024-10-31 09:39:24.506,2024-10-31 09:39:24.506,-74.0812694,4.6254368,11.40843333333333
d55e8cb90044,2024-10-31 09:41:00.000,Si,SI AUTORIZO,,Mayor a 60 anos,"BOGOTA, D.C.","BOGOTA, D.C.",Super Cade 30,ENEL,other,Me estan haciendo cobros de productos que no he solicitado,Quien usa el servicio,,Si,Mujer,,Ninguno,,Si,Urbana,Divorciado/a,,Superior (incluye postgrado),,Propia,,Trabajador(a) independiente,,1,Menos de 30 minutos,Menos de $10.000,,Energia Electrica,,Presentar una reclamacion,,Facturacion,nan,Considero que me estan cobrando,,nan,,Regular,,No,nan,No confio en que me orienten ad,Quiero asistir presencialmente,,nan,Menos de una semana,Contactar Nuevamente,nan,other,Vuelvo para que me explique porque del cobro innecesario,"Si, pero no me dieron mas detal",,Creo que es la entidad que prov,,Neutral,Si,2024-10-31 10:02:34.425,2024-10-31 10:02:34.425,-74.0813028,4.6254443,21.57375
